origin,destination,intermediate,distance,duration,static_duration,polyline,request_time
JND_at_Rimrock,Wilson_at_Willy,JND_at_North_Shore,4366,895s,444s,{pveG||n`PbGpHN]{GkI}B|D{@hAwA|A{AlAsFpDgBv@gJ|CcBt@iAp@_BtAkG~GsBrBcInHkRfQuD~CqAr@qAd@uARuABaAIwKgBcAUwEaBO@{@YMASDNHFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@BYJBV,2025-10-10T22:32:50Z
Wilson_at_Willy,JND_at_Rimrock,JND_at_North_Shore,3899,298s,314s,ai|eGreo`Pb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@t@\xChAlCr@dG~@bFh@fBAvASlAc@tAw@vIoHzMuLtCgCZ_@rEaExHiIhA_A|AaAh@WhGwBjBi@jBu@zA}@nGyE|AaBfAwA~@{Aj@eA,2025-10-10T22:32:50Z
JND_at_Rimrock,Wilson_at_Willy,JND_at_North_Shore,4366,939s,444s,{pveG||n`PbGpHN]{GkI}B|D{@hAwA|A{AlAsFpDgBv@gJ|CcBt@iAp@_BtAkG~GsBrBcInHkRfQuD~CqAr@qAd@uARuABaAIwKgBcAUwEaBO@{@YMASDNHFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@BYJBV,2025-10-10T22:42:21Z
Wilson_at_Willy,JND_at_Rimrock,JND_at_North_Shore,3899,294s,314s,ai|eGreo`Pb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@t@\xChAlCr@dG~@bFh@fBAvASlAc@tAw@vIoHzMuLtCgCZ_@rEaExHiIhA_A|AaAh@WhGwBjBi@jBu@zA}@nGyE|AaBfAwA~@{Aj@eA,2025-10-10T22:42:21Z
JND_at_Rimrock,Wilson_at_Willy,JND_at_North_Shore,4366,652s,444s,{pveG||n`PbGpHN]{GkI}B|D{@hAwA|A{AlAsFpDgBv@gJ|CcBt@iAp@_BtAkG~GsBrBcInHkRfQuD~CqAr@qAd@uARuABaAIwKgBcAUwEaBO@{@YMASDNHFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@BYJBV,2025-10-10T23:27:09Z
Wilson_at_Willy,JND_at_Rimrock,JND_at_North_Shore,3899,306s,314s,ai|eGreo`Pb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@t@\xChAlCr@dG~@bFh@fBAvASlAc@tAw@vIoHzMuLtCgCZ_@rEaExHiIhA_A|AaAh@WhGwBjBi@jBu@zA}@nGyE|AaBfAwA~@{Aj@eA,2025-10-10T23:27:09Z
JND_at_Rimrock,Wilson_at_Willy,JND_at_North_Shore,4366,673s,444s,{pveG||n`PbGpHN]{GkI}B|D{@hAwA|A{AlAsFpDgBv@gJ|CcBt@iAp@_BtAkG~GsBrBcInHkRfQuD~CqAr@qAd@uARuABaAIwKgBcAUwEaBO@{@YMASDNHFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@BYJBV,2025-10-10T23:40:16Z
Wilson_at_Willy,JND_at_Rimrock,JND_at_North_Shore,3899,306s,314s,ai|eGreo`Pb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@t@\xChAlCr@dG~@bFh@fBAvASlAc@tAw@vIoHzMuLtCgCZ_@rEaExHiIhA_A|AaAh@WhGwBjBi@jBu@zA}@nGyE|AaBfAwA~@{Aj@eA,2025-10-10T23:40:17Z
JND_at_Rimrock,Wilson_at_Willy,JND_at_North_Shore,4366,410s,444s,{pveG||n`PbGpHN]{GkI}B|D{@hAwA|A{AlAsFpDgBv@gJ|CcBt@iAp@_BtAkG~GsBrBcInHkRfQuD~CqAr@qAd@uARuABaAIwKgBcAUwEaBO@{@YMASDNHFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@BYJBV,2025-10-11T03:02:45Z
Wilson_at_Willy,JND_at_Rimrock,JND_at_North_Shore,3899,353s,314s,ai|eGreo`Pb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@t@\xChAlCr@dG~@bFh@fBAvASlAc@tAw@vIoHzMuLtCgCZ_@rEaExHiIhA_A|AaAh@WhGwBjBi@jBu@zA}@nGyE|AaBfAwA~@{Aj@eA,2025-10-11T03:02:45Z
JND_at_Rimrock,Wilson_at_Willy,JND_at_North_Shore,4366,419s,444s,{pveG||n`PbGpHN]{GkI}B|D{@hAwA|A{AlAsFpDgBv@gJ|CcBt@iAp@_BtAkG~GsBrBcInHkRfQuD~CqAr@qAd@uARuABaAIwKgBcAUwEaBO@{@YMASDNHFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@BYJBV,2025-10-11T03:08:30Z
Wilson_at_Willy,JND_at_Rimrock,JND_at_North_Shore,3899,344s,314s,ai|eGreo`Pb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@t@\xChAlCr@dG~@bFh@fBAvASlAc@tAw@vIoHzMuLtCgCZ_@rEaExHiIhA_A|AaAh@WhGwBjBi@jBu@zA}@nGyE|AaBfAwA~@{Aj@eA,2025-10-11T03:08:30Z
JND_at_Rimrock,Wilson_at_Willy,JND_at_North_Shore,4366,406s,444s,{pveG||n`PbGpHN]{GkI}B|D{@hAwA|A{AlAsFpDgBv@gJ|CcBt@iAp@_BtAkG~GsBrBcInHkRfQuD~CqAr@qAd@uARuABaAIwKgBcAUwEaBO@{@YMASDNHFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@BYJBV,2025-10-11T03:19:14Z
Wilson_at_Willy,JND_at_Rimrock,JND_at_North_Shore,3899,343s,314s,ai|eGreo`Pb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@t@\xChAlCr@dG~@bFh@fBAvASlAc@tAw@vIoHzMuLtCgCZ_@rEaExHiIhA_A|AaAh@WhGwBjBi@jBu@zA}@nGyE|AaBfAwA~@{Aj@eA,2025-10-11T03:19:14Z
JND_at_Rimrock,Wilson_at_Willy,JND_at_North_Shore,4366,365s,444s,{pveG||n`PbGpHN]{GkI}B|D{@hAwA|A{AlAsFpDgBv@gJ|CcBt@iAp@_BtAkG~GsBrBcInHkRfQuD~CqAr@qAd@uARuABaAIwKgBcAUwEaBO@{@YMASDNHFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@BYJBV,2025-10-11T04:37:33Z
Wilson_at_Willy,JND_at_Rimrock,JND_at_North_Shore,3899,294s,314s,ai|eGreo`Pb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@t@\xChAlCr@dG~@bFh@fBAvASlAc@tAw@vIoHzMuLtCgCZ_@rEaExHiIhA_A|AaAh@WhGwBjBi@jBu@zA}@nGyE|AaBfAwA~@{Aj@eA,2025-10-11T04:37:34Z
